_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66602237ca2df50192a3c492,,37.59,81.82,52.78,54.75,47;8;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717576247000
66602225ca2df50192a3c3cb,,46.39,93.85,51.98,67.73,58;2;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717576229000
66600b58ca2df50192a2eefb,,66.37,97.78,71.96,74.91,83;1;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717570392000
66600b47ca2df50192a2ee3d,,50.39,94.03,53.59,52.5,63;3;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717570374000
66600b34ca2df50192a2ed96,,45.59,88.46,62.39,76.5,57;5;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717570356000
665eea85ca2df50192983531,,34.37,82.14,44.76,47.96,43;7;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717496453000
665eea75ca2df50192983489,,43.16,88.73,56.75,57.45,54;5;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717496437000
665eea5cca2df5019298339e,,63.99,97.59,66.39,74.56,80;1;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717496412000
665ee907ca2df5019298277c,,47.18,90,55.97,78.33,59;5;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717496071000
665ee8f4ca2df501929826d7,,44.76,90.67,59.95,72.68,56;4;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717496052000
665ee8ceca2df501929825af,,36.19,90.56,46.59,61.22,181;12;0;0,time,60,-1,0,60.02,1,0,true,true,english,none,normal,false,false,false,,1717496014000
665ee643ca2df50192980ead,,32.99,89.08,47.59,58.36,165;12;2;2,time,60,-1,0,60.01,1,0,true,true,english,none,normal,false,false,false,,1717495363000
665ed0fdca2df50192974544,,45.39,92.86,53.19,67.74,227;12;0;1,time,60,-1,0,60.01,0,0,true,true,english,none,normal,false,false,false,,1717489917000
665ed077ca2df50192974045,,33.58,83.58,53.57,56.88,42;6;1;1,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717489783000
665ed067ca2df50192973fb7,,53.58,94.87,62.38,60.18,67;2;0;0,time,15,-1,0,15.01,1,0,true,true,english,none,normal,false,false,false,,1717489767000
665ed053ca2df50192973ef0,,51.19,97.14,55.99,70.04,64;1;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717489747000
665e9538ca2df50192953985,true,72.75,100,72.75,77.11,91;0;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717474616000
665e9526ca2df501929538ee,,53.59,96.05,60.79,69.03,67;1;0;1,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717474598000
665e9514ca2df50192953846,,54.38,92.41,63.18,81.06,68;4;0;0,time,15,-1,0,15,0,0,true,true,english,none,normal,false,false,false,,1717474580000
665e9500ca2df501929537a0,,43.8,92.05,52.8,66.5,219;9;4;0,time,60,-1,0,60,0,0,true,true,english,none,normal,false,false,false,,1717474560000
665e94b6ca2df501929534f2,,44.79,94.01,53.39,67.59,224;7;1;1,time,60,-1,0,60.01,0,0,true,true,english,none,normal,false,false,false,,1717474486000
665e00a2ca2df50192906552,,40.79,89.58,51.79,67.11,204;16;0;2,time,60,-1,0,60.01,0,0,true,true,english,none,normal,false,false,false,,1717436578000
665c684c3f4cde2f9d104998,,45.6,93.38,57.4,70.17,228;10;1;1,time,60,-1,0,60,0,0,true,true,english,none,normal,false,false,false,,1717332044000
665c680b3f4cde2f9d104758,,39.19,87.59,53.19,60.23,196;21;0;1,time,60,-1,0,60.01,0,0,true,true,english,none,normal,false,false,false,,1717331979000
665c67cb3f4cde2f9d104521,,48.2,93.79,58,66.4,241;10;0;1,time,60,-1,0,60,0,0,true,true,english,none,normal,false,false,false,,1717331915000
665c678a3f4cde2f9d1042f5,,58.37,97.44,62.37,73.54,73;1;0;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717331850000
665c67793f4cde2f9d10424b,,42.37,89.55,53.56,74.32,53;3;1;0,time,15,-1,0,15.01,0,0,true,true,english,none,normal,false,false,false,,1717331833000
665c67673f4cde2f9d1041a6,,56.74,86.52,71.13,75.8,71;9;1;0,time,15,-1,0,15.02,0,0,true,true,english,none,normal,false,false,false,,1717331815000
